film,imdb,imdb_norm,imdb_norm_round,imdb_user_vote_count
Fantastic Four (2015),4,2,2,39838
Fifty Shades of Grey (2015),4.2,2.1,2,179506
Paul Blart: Mall Cop 2 (2015),4.3,2.15,2,15004
The Gallows (2015),4.4,2.2,2,5511
The Boy Next Door (2015),4.6,2.3,2.5,19658
The Vatican Tapes (2015),4.6,2.3,2.5,952
Hot Pursuit (2015),4.9,2.45,2.5,17061
The Woman In Black 2 Angel of Death (2015),4.9,2.45,2.5,14873
Poltergeist (2015),5,2.5,2.5,21372
Hot Tub Time Machine 2 (2015),5.1,2.55,2.5,19560
Annie (2014),5.2,2.6,2.5,19222
The Lazarus Effect (2015),5.2,2.6,2.5,17691
Do You Believe? (2015),5.4,2.7,2.5,3136
Unfinished Business (2015),5.4,2.7,2.5,14346
Blackhat (2015),5.4,2.7,2.5,27328
Serena (2015),5.4,2.7,2.5,12165
Aloha (2015),5.5,2.75,3,12255
Seventh Son (2015),5.5,2.75,3,41177
Mortdecai (2015),5.5,2.75,3,31878
Sinister 2 (2015),5.5,2.75,3,3200
Jupiter Ascending (2015),5.5,2.75,3,105412
Pixels (2015),5.6,2.8,3,19521
Maggie (2015),5.6,2.8,3,18986
Strange Magic (2015),5.7,2.85,3,3658
The Gunman (2015),5.8,2.9,3,16663
Welcome to Me (2015),5.9,2.95,3,8301
Unfriended (2015),5.9,2.95,3,22348
Hitman: Agent 47 (2015),5.9,2.95,3,4260
Into the Woods (2014),6,3,3,81679
The Last Five Years (2015),6,3,3,4110
Taken 3 (2015),6.1,3.05,3,104235
5 Flights Up (2015),6.1,3.05,3,2174
The SpongeBob Movie: Sponge Out of Water (2015),6.1,3.05,3,26046
Get Hard (2015),6.1,3.05,3,50022
Ricki and the Flash (2015),6.2,3.1,3,1769
Night at the Museum: Secret of the Tomb (2014),6.3,3.15,3,50291
Insidious: Chapter 3 (2015),6.3,3.15,3,25134
The Loft (2015),6.3,3.15,3,21319
Saint Laurent (2015),6.3,3.15,3,2196
Maps to the Stars (2015),6.3,3.15,3,22440
True Story (2015),6.3,3.15,3,16069
Dark Places (2015),6.3,3.15,3,9856
Vacation (2015),6.3,3.15,3,8179
Magic Mike XXL (2015),6.3,3.15,3,11937
Black Sea (2015),6.4,3.2,3,16547
The Divergent Series: Insurgent (2015),6.4,3.2,3,89618
Project Almanac (2015),6.4,3.2,3,40057
Child 44 (2015),6.4,3.2,3,19220
A Little Chaos (2015),6.4,3.2,3,4778
While We're Young (2015),6.4,3.2,3,17647
Top Five (2014),6.5,3.25,3.5,16876
American Ultra (2015),6.5,3.25,3.5,3017
San Andreas (2015),6.5,3.25,3.5,45723
Cake (2015),6.5,3.25,3.5,19627
Ted 2 (2015),6.6,3.3,3.5,49102
Run All Night (2015),6.6,3.3,3.5,50438
Tomorrowland (2015),6.6,3.3,3.5,42937
The DUFF (2015),6.6,3.3,3.5,33594
Black or White (2015),6.6,3.3,3.5,4857
Self/less (2015),6.6,3.3,3.5,5626
Focus (2015),6.6,3.3,3.5,101264
The Second Best Exotic Marigold Hotel (2015),6.6,3.3,3.5,12940
Escobar: Paradise Lost (2015),6.6,3.3,3.5,7819
Trainwreck (2015),6.7,3.35,3.5,27380
Pitch Perfect 2 (2015),6.7,3.35,3.5,56333
Inherent Vice (2014),6.7,3.35,3.5,44711
Home (2015),6.7,3.35,3.5,41158
The Wedding Ringer (2015),6.7,3.35,3.5,37292
Minions (2015),6.7,3.35,3.5,55895
"Kumiko, The Treasure Hunter (2015)",6.7,3.35,3.5,5289
Clouds of Sils Maria (2015),6.8,3.4,3.5,11392
Irrational Man (2015),6.9,3.45,3.5,2680
I'll See You In My Dreams (2015),6.9,3.45,3.5,1151
Terminator Genisys (2015),6.9,3.45,3.5,85585
Mr. Turner (2014),6.9,3.45,3.5,13296
Paper Towns (2015),6.9,3.45,3.5,14156
The Overnight (2015),6.9,3.45,3.5,867
It Follows (2015),6.9,3.45,3.5,64656
The Diary of a Teenage Girl (2015),7,3.5,3.5,1107
Chappie (2015),7,3.5,3.5,125088
Big Eyes (2014),7,3.5,3.5,39152
Max (2015),7,3.5,3.5,5444
Cinderella (2015),7.1,3.55,3.5,65709
Entourage (2015),7.1,3.55,3.5,21914
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),7.1,3.55,3.5,17237
A Most Violent Year (2014),7.1,3.55,3.5,32166
The Wolfpack (2015),7.1,3.55,3.5,1488
The Stanford Prison Experiment (2015),7.1,3.55,3.5,950
Danny Collins (2015),7.1,3.55,3.5,11206
The Water Diviner (2015),7.2,3.6,3.5,39373
Far From The Madding Crowd (2015),7.2,3.6,3.5,12129
Unbroken (2014),7.2,3.6,3.5,77518
Timbuktu (2015),7.2,3.6,3.5,6246
Paddington (2015),7.2,3.6,3.5,38593
Infinitely Polar Bear (2015),7.2,3.6,3.5,1062
Phoenix (2015),7.2,3.6,3.5,3687
The Longest Ride (2015),7.2,3.6,3.5,25214
Spare Parts (2015),7.2,3.6,3.5,47377
'71 (2015),7.2,3.6,3.5,24116
The Age of Adaline (2015),7.3,3.65,3.5,45510
Monkey Kingdom (2015),7.3,3.65,3.5,883
Spy (2015),7.3,3.65,3.5,66636
Testament of Youth (2015),7.3,3.65,3.5,5495
Jurassic World (2015),7.3,3.65,3.5,241807
Shaun the Sheep Movie (2015),7.4,3.7,3.5,12227
American Sniper (2015),7.4,3.7,3.5,251856
Furious 7 (2015),7.4,3.7,3.5,207211
Little Boy (2015),7.4,3.7,3.5,5927
Tangerine (2015),7.4,3.7,3.5,696
Woman in Gold (2015),7.4,3.7,3.5,17957
Mr. Holmes (2015),7.4,3.7,3.5,7367
"Two Days, One Night (2014)",7.4,3.7,3.5,24345
"McFarland, USA (2015)",7.5,3.75,4,13769
Selma (2014),7.5,3.75,4,45344
Still Alice (2015),7.5,3.75,4,57123
The Hunting Ground (2015),7.5,3.75,4,1196
The Hobbit: The Battle of the Five Armies (2014),7.5,3.75,4,289464
Dope (2015),7.5,3.75,4,4911
The Man From U.N.C.L.E. (2015),7.6,3.8,4,22104
The Gift (2015),7.6,3.8,4,10891
What We Do in the Shadows (2015),7.6,3.8,4,39561
Leviathan (2014),7.7,3.85,4,22521
Ex Machina (2015),7.7,3.85,4,154499
Red Army (2015),7.7,3.85,4,2275
Seymour: An Introduction (2015),7.7,3.85,4,243
Avengers: Age of Ultron (2015),7.8,3.9,4,271107
Ant-Man (2015),7.8,3.9,4,103660
Love & Mercy (2015),7.8,3.9,4,5367
Southpaw (2015),7.8,3.9,4,23561
When Marnie Was There (2015),7.8,3.9,4,4160
Kingsman: The Secret Service (2015),7.8,3.9,4,272204
The Wrecking Crew (2015),7.8,3.9,4,732
Mission: Impossible Ã¢â‚¬â€œ Rogue Nation (2015),7.8,3.9,4,82579
Gett: The Trial of Viviane Amsalem (2015),7.8,3.9,4,1955
The End of the Tour (2015),7.9,3.95,4,1320
Birdman (2014),7.9,3.95,4,303505
Amy (2015),8,4,4,5630
The Imitation Game (2014),8.1,4.05,4,334164
Wild Tales (2014),8.2,4.1,4,50285
About Elly (2015),8.2,4.1,4,20659
Me and Earl and The Dying Girl (2015),8.2,4.1,4,5269
Song of the Sea (2014),8.2,4.1,4,14067
Mad Max: Fury Road (2015),8.3,4.15,4,292023
Straight Outta Compton (2015),8.4,4.2,4,15982
The Salt of the Earth (2015),8.4,4.2,4,6605
Inside Out (2015),8.6,4.3,4.5,96252
